Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2023-09-12T21:38:25.000Z,45.03566,-67.09627,-123,0.17,0,1.04,1.22,1.6,11,10,0,3,143,3.963,0.068,3,32,
2023-09-12T21:53:36.000Z,45.03442,-67.1003,-117,0.06,0,1.06,1.32,1.69,11,10,0,3,143,3.963,0.069,1,33,
2023-09-12T22:08:45.000Z,45.03498,-67.10014,-72,0.12,0,0.91,1.11,1.44,12,8,0,3,153,3.963,0.218,0,33,
2023-09-12T22:23:55.000Z,45.05743,-67.11348,-86,0.09,0,0.92,1.14,1.47,11,9,0,3,630,3.962,0.069,0,28,
2023-09-12T22:39:05.000Z,45.0573,-67.11337,-69,0.07,0,0.97,1.06,1.44,12,9,0,3,7,3.962,0.037,0,31,
2023-09-12T22:54:16.000Z,45.05873,-67.10851,-48,0.05,0,0.84,0.96,1.27,12,10,0,3,205,3.963,0.001,0,31,
2023-09-12T23:09:28.000Z,45.05894,-67.10774,69,0.1,0,0.76,0.92,1.19,12,11,0,3,0,3.961,0,0,33,
2023-09-12T23:24:41.000Z,45.05548,-67.10658,72,0.02,0,0.78,1.1,1.35,12,12,0,3,203,3.959,0,0,32,
2023-09-12T23:39:54.000Z,45.0558,-67.10693,18,0.16,0,0.76,1.11,1.35,12,12,0,3,0,3.958,0,0,33,
2023-09-12T23:55:08.000Z,45.05595,-67.10797,-44,0.39,0,0.73,1.18,1.39,12,13,0,3,0,3.957,0,0,33,
2023-09-13T00:10:19.000Z,45.05593,-67.10844,-70,0.02,0,0.74,1.09,1.32,12,10,0,3,0,3.958,0,0,33,
2023-09-13T00:25:31.000Z,45.05611,-67.10889,-63,0.1,0,0.68,0.95,1.17,12,11,0,3,0,3.958,0,0,33,
2023-09-13T00:40:42.000Z,45.0561,-67.10925,-25,0.19,0,0.81,1.11,1.33,12,10,0,3,0,3.957,0,0,33,
2023-09-13T00:55:54.000Z,45.05613,-67.10905,-101,0.13,0,0.77,1.18,1.43,12,11,0,3,0,3.957,0,0,33,
2023-09-13T01:11:05.000Z,45.05653,-67.10838,-3,0.28,0,0.82,1.29,1.55,12,10,0,3,45,3.957,0,0,32,
2023-09-13T01:26:16.000Z,45.05663,-67.10838,-82,0.12,0,0.65,0.92,1.14,12,10,0,3,0,3.956,0,0,33,
2023-09-13T01:41:27.000Z,45.05664,-67.10847,-2,0.22,0,0.71,1.04,1.26,12,10,0,3,0,3.956,0,0,33,
2023-09-13T01:56:37.000Z,45.05626,-67.10826,-41,0.19,0,0.69,1.04,1.25,12,9,0,3,0,3.955,0,0,33,
2023-09-13T02:11:48.000Z,45.05554,-67.10742,-82,0.48,0,0.74,1.26,1.46,12,10,0,3,0,3.953,0,0,33,
2023-09-13T02:26:59.000Z,45.05542,-67.10798,-98,0.25,0,0.74,1.36,1.55,12,10,0,3,0,3.955,0,0,34,
2023-09-13T02:42:09.000Z,45.05524,-67.10714,-86,0.29,0,0.77,1.5,1.7,12,9,0,3,25,3.951,0,0,34,
2023-09-13T02:57:20.000Z,45.05503,-67.10722,-38,0.27,0,0.68,1.1,1.29,12,10,0,3,108,3.952,0,0,33,
2023-09-13T03:12:31.000Z,45.05559,-67.10783,-10,0.24,0,0.63,0.96,1.14,12,10,0,3,0,3.95,0,0,33,
2023-09-13T03:27:41.000Z,45.05594,-67.10818,2,0.09,0,0.66,1.01,1.21,12,9,0,3,0,3.951,0,0,34,
2023-09-13T03:42:51.000Z,45.05611,-67.10851,-8,0.08,0,0.66,0.94,1.12,12,9,0,3,0,3.951,0,0,35,
2023-09-13T03:58:01.000Z,45.05569,-67.10879,32,0.2,0,0.83,1.06,1.28,12,9,0,3,0,3.95,0,0,35,
2023-09-13T04:13:12.000Z,45.0561,-67.10867,-13,0.35,0,0.86,1.22,1.49,12,10,0,3,0,3.948,0,0,35,
2023-09-13T04:29:29.000Z,45.05577,-67.1077,6,0.22,0,0.72,0.97,1.2,12,76,0,3,103,3.948,0,0,34,
2023-09-13T04:43:38.000Z,45.05569,-67.10825,10,0.2,0,0.71,0.87,1.11,12,8,0,3,0,3.937,0,0,34,
2023-09-13T04:58:46.000Z,45.05505,-67.10918,7,0.31,194,0.78,0.86,1.17,12,7,0,3,0,3.939,0,0,35,
2023-09-13T05:13:54.000Z,45.05526,-67.10954,10,0.23,0,0.82,0.92,1.24,12,7,0,3,0,3.937,0,0,35,
2023-09-13T05:29:03.000Z,45.05599,-67.10933,14,0.1,0,0.86,1.37,1.8,12,8,0,3,0,3.939,0,0,35,
2023-09-13T05:44:12.000Z,45.05674,-67.10838,5,0.19,0,0.89,1.45,1.85,12,8,0,3,0,3.939,0,0,35,
2023-09-13T05:59:20.000Z,45.05766,-67.10831,4,0.3,0,0.96,1.12,1.42,12,7,0,3,0,3.936,0,0,35,
2023-09-13T06:14:29.000Z,45.05822,-67.10809,-8,0.06,0,0.78,1.28,1.54,12,8,0,3,0,3.935,0,0,34,
2023-09-13T06:29:38.000Z,45.05844,-67.10706,-10,0.3,0,0.66,0.98,1.22,12,8,0,3,0,3.936,0,0,34,
2023-09-13T06:44:47.000Z,45.05755,-67.10772,26,0.41,0,0.78,1.11,1.37,12,8,0,3,359,3.934,0,0,33,
2023-09-13T06:59:56.000Z,45.05795,-67.10602,76,0.14,0,1,1.91,2.16,12,8,0,3,0,3.931,0,0,34,
2023-09-13T07:15:04.000Z,45.05813,-67.10581,26,0.09,0,0.74,0.91,1.12,12,7,0,3,0,3.931,0,0,34,
2023-09-13T07:30:14.000Z,45.05823,-67.10416,23,0.42,344,0.72,0.92,1.17,12,9,0,3,0,3.93,0,0,34,
2023-09-13T07:45:22.000Z,45.05924,-67.10216,16,0.36,0,0.78,0.95,1.17,12,7,0,3,0,3.929,0,0,33,
2023-09-13T08:00:32.000Z,45.06091,-67.10106,-8,0.33,0,0.82,1.01,1.3,12,9,0,3,0,3.929,0,0,34,
2023-09-13T08:15:43.000Z,45.06221,-67.10072,-28,0.45,0,0.77,0.97,1.28,12,10,0,3,0,3.929,0,0,34,
2023-09-13T08:30:54.000Z,45.06367,-67.09995,-24,0.46,0,1.21,1.85,2.21,12,10,0,3,0,3.928,0,0,34,
2023-09-13T08:46:05.000Z,45.05732,-67.10449,-43,18.09,222,0.94,1.22,1.54,12,10,0,3,433,3.924,0,0,31,
2023-09-13T09:01:16.000Z,45.05709,-67.10566,-60,0.21,0,0.81,1.09,1.36,12,10,0,3,57,3.923,0,0,31,
2023-09-13T09:16:25.000Z,45.05757,-67.10705,-103,0.34,0,0.87,1.24,1.54,12,8,0,3,18,3.92,0,0,33,
2023-09-13T09:31:36.000Z,45.05715,-67.10913,62,0.09,0,0.81,1.19,1.44,12,10,0,3,183,3.922,0,0,31,
2023-09-13T09:46:46.000Z,45.05875,-67.11021,-50,0.05,0,0.67,0.93,1.13,12,9,0,3,155,3.92,0.001,0,32,
2023-09-13T10:01:55.000Z,45.05855,-67.11095,-2,0.41,0,0.62,1.02,1.21,12,8,0,3,176,3.917,0.008,0,32,
2023-09-13T10:17:05.000Z,45.036,-67.0974,-98,0.83,331,0.77,1.24,1.46,12,9,0,3,1122,3.919,0.047,0,28,
2023-09-13T10:32:14.000Z,45.03566,-67.09618,-77,0.04,0,0.61,0.96,1.13,12,8,0,3,274,3.918,0.098,0,31,
2023-09-13T10:47:25.000Z,45.03577,-67.08931,-126,0.04,0,0.77,1.15,1.39,12,10,0,3,622,3.916,0.085,0,29,
2023-09-13T11:02:36.000Z,45.03547,-67.0894,-78,1.48,313,0.88,1.4,1.63,12,10,0,3,136,3.916,0.036,3,32,
2023-09-13T11:17:48.000Z,45.03524,-67.08973,-155,0.1,0,0.92,1.44,1.7,12,11,0,3,180,3.913,0.191,2,32,
2023-09-13T11:32:58.000Z,45.03395,-67.10307,-114,0.01,0,0.7,1.19,1.38,12,9,0,3,310,3.913,0.869,6,31,
2023-09-13T11:48:08.000Z,45.03393,-67.10292,-112,0.04,0,0.7,1.08,1.29,12,9,0,3,0,3.912,0.454,2,33,
2023-09-13T12:03:19.000Z,45.03333,-67.10186,-115,0.03,0,0.8,1.14,1.4,12,10,0,3,123,3.913,1.136,5,33,
2023-09-13T12:18:30.000Z,45.03346,-67.10188,-105,0.09,0,1.03,1.3,1.65,12,10,0,3,33,3.912,1.214,8,33,
2023-09-13T12:33:39.000Z,45.03358,-67.10191,-98,0.11,0,0.76,0.91,1.12,12,8,0,3,0,3.908,1.676,29,34,
2023-09-13T12:48:52.000Z,45.03257,-67.10358,-113,0.37,0,2,2.14,2.93,12,12,0,3,176,3.909,0.627,4,33,
2023-09-13T13:04:03.000Z,45.03448,-67.10219,0,0.09,0,1.1,1.33,1.72,12,10,0,3,99,3.909,1.732,16,33,
2023-09-13T13:19:13.000Z,45.03444,-67.10218,17,0.05,0,0.8,0.93,1.23,12,9,0,3,27,3.907,1.503,41,33,
2023-09-13T13:34:23.000Z,45.03459,-67.10218,-2,0.08,0,0.75,0.84,1.12,12,9,0,3,8,3.911,1.683,37,32,
2023-09-13T13:49:36.000Z,45.03342,-67.10358,85,0.75,0,1.98,2.23,2.98,12,12,0,3,179,3.908,0.52,41,30,
2023-09-13T14:04:50.000Z,45.034,-67.10413,56,1.05,35,1.12,1.29,1.71,10,13,0,3,275,3.908,0.485,0,31,
2023-09-13T14:20:01.000Z,45.03448,-67.10214,47,0.02,0,0.84,1.14,1.43,12,10,0,3,101,3.907,1.624,28,31,
2023-09-13T14:35:12.000Z,45.03433,-67.10211,48,0.03,0,0.88,1.25,1.53,12,10,0,3,31,3.909,1.131,18,32,
2023-09-13T14:50:23.000Z,45.03397,-67.10191,44,0.07,0,0.91,1.31,1.59,12,10,0,3,17,3.906,1.499,20,32,
2023-09-13T15:05:34.000Z,45.03399,-67.10199,52,0.13,0,0.88,1.11,1.42,12,10,0,3,32,3.906,0.277,5,32,
2023-09-13T15:20:46.000Z,45.03336,-67.10174,27,0.16,0,1.09,1.21,1.59,12,11,0,3,287,3.905,0.761,10,32,
2023-09-13T15:35:58.000Z,45.03305,-67.1016,-13,0.18,0,1.01,1.28,1.63,12,11,0,3,2,3.908,1.639,45,33,
