Fix Time,Latitude,Longitude,Altitude,Speed,COG (deg),HDOP,VDOP,PDOP,Satellite Count,Time to Fix,Error,Nav. Type,Activity,Battery (V),Charge (V),Solar Current (mA),Temp (C)
2024-01-23T00:10:40.000Z,39.72826,-75.48155,92,0.49,0,0.95,1.15,1.51,11,12,0,3,0,3.854,0,0,29,
2024-01-23T00:25:51.000Z,39.72773,-75.4869,149,10.7,246,1,1.35,1.69,11,10,0,3,336,3.852,0.009,0,22,
2024-01-23T00:41:03.000Z,39.7326,-75.48369,29,1.37,23,1.12,1.5,1.88,12,11,0,3,34,3.853,0,0,25,
2024-01-23T00:56:17.000Z,39.73775,-75.48071,115,1.31,12,0.97,1.56,1.84,12,13,0,3,20,3.854,0,0,27,
2024-01-23T01:11:32.000Z,39.72405,-75.48173,72,0.63,0,0.91,1.29,1.55,12,14,0,3,382,3.85,0,0,18,
2024-01-23T01:26:45.000Z,39.7237,-75.48299,54,1.2,70,1.08,1.28,1.51,12,12,0,3,85,3.851,0,0,22,
2024-01-23T01:42:14.000Z,39.72218,-75.48431,21,0.46,0,0.8,1.27,1.5,12,28,0,3,190,3.85,0,0,22,
2024-01-23T01:57:25.000Z,39.72354,-75.48291,15,0.31,0,0.76,1.55,1.79,12,10,0,3,1,3.851,0,0,27,
2024-01-23T02:13:06.000Z,39.72418,-75.48154,19,0.47,0,1.09,1.39,1.68,12,40,0,3,19,3.853,0,0,29,
2024-01-23T02:27:48.000Z,39.72572,-75.48171,-17,0.35,0,0.95,1.58,1.85,12,11,0,3,0,3.852,0,0,28,
2024-01-23T02:42:58.000Z,39.72558,-75.48135,-76,0.12,0,0.9,1.3,1.58,12,9,0,3,19,3.851,0,0,29,
2024-01-23T02:58:32.000Z,39.72583,-75.4807,-62,0.03,0,1.29,1.17,1.49,12,33,0,3,0,3.853,0,0,29,
2024-01-23T03:13:12.000Z,39.72563,-75.48135,1,0.16,0,1.27,1.56,2,10,9,0,3,0,3.851,0,0,29,
2024-01-23T03:28:22.000Z,39.7247,-75.48167,6,0.25,0,1.02,1.43,1.89,12,9,0,3,0,3.85,0,0,29,
2024-01-23T03:43:32.000Z,39.72355,-75.48183,2,0.41,0,1.28,1.55,2,11,9,0,3,18,3.851,0,0,28,
2024-01-23T03:58:42.000Z,39.72241,-75.48273,-28,0.46,0,0.92,1.43,1.71,11,9,0,3,0,3.85,0,0,28,
2024-01-23T04:13:53.000Z,39.72174,-75.48307,-9,0.28,0,1.02,1.41,1.74,12,10,0,3,137,3.85,0,0,28,
2024-01-23T04:29:02.000Z,39.72126,-75.48464,9,0.19,0,1.33,2.99,3.53,9,8,0,3,33,3.847,0,0,27,
2024-01-23T04:59:15.000Z,39.72166,-75.48283,40,0.2,0,1.17,1.57,1.96,10,11,0,3,182,3.848,0,0,29,
2024-01-23T05:29:30.000Z,39.71973,-75.48374,-15,0.18,0,1.64,2.09,2.66,9,13,0,3,2,3.846,0,0,29,
2024-01-23T06:00:06.000Z,39.68857,-75.52232,26,0.05,0,1.24,1.43,1.89,10,34,0,3,635,3.845,0,0,20,
2024-01-23T06:30:01.000Z,39.689,-75.52252,26,0.32,0,1.29,1.24,1.98,10,23,0,3,26,3.846,0,0,28,
2024-01-23T07:00:11.000Z,39.68884,-75.52252,9,0.08,0,1.36,2.86,3.17,8,8,0,3,2,3.843,0.003,0,28,
2024-01-23T07:30:27.000Z,39.68874,-75.52248,0,0.02,0,1.1,1.83,2.14,9,14,0,3,11,3.846,0.001,0,27,
2024-01-23T08:00:45.000Z,39.68829,-75.52267,114,0.06,0,1.79,1.59,2.02,11,16,0,3,12,3.845,0.002,0,27,
2024-01-23T08:31:13.000Z,39.68842,-75.52232,64,0.1,0,1.17,1.47,1.88,12,26,0,3,4,3.843,0,0,27,
2024-01-23T09:01:33.000Z,39.68839,-75.52187,83,0.08,0,1.26,2.37,2.69,8,18,0,3,12,3.842,0.002,0,26,
2024-01-23T09:32:03.000Z,39.68811,-75.52305,250,0.15,0,2.23,5.97,6.45,10,28,0,3,14,3.842,0,0,26,
2024-01-23T10:02:36.000Z,39.68848,-75.52267,63,0.15,0,1,1.42,1.74,12,31,0,3,0,3.84,0.001,0,27,
2024-01-23T10:32:19.000Z,39.68855,-75.52264,17,0.06,0,0.86,1.36,1.61,12,11,0,3,113,3.84,0,0,27,
2024-01-23T11:02:38.000Z,39.68824,-75.52266,129,0.04,0,0.95,1.51,1.77,12,17,0,3,38,3.841,0,0,27,
2024-01-23T11:32:49.000Z,39.68858,-75.5225,21,0.05,0,1.08,1.87,2.18,12,9,0,3,3,3.84,0.003,0,28,
2024-01-23T12:03:01.000Z,39.70471,-75.5148,-8,1.7,17,0.83,1.23,1.52,12,10,0,3,1077,3.835,0.05,0,20,
2024-01-23T12:33:12.000Z,39.72235,-75.51076,61,0.06,0,0.81,1.09,1.36,12,9,0,3,400,3.84,1.827,2,24,
2024-01-23T13:03:48.000Z,39.71819,-75.51497,30,0.75,277,1.36,1.89,2.16,12,34,0,3,1104,3.839,0.712,23,21,
